date,run,ov,vgain,integrator,mask,width,intensity
16/10/2024,30346,"[3.0, 7.0]",1995,0,12,1,2200
16/10/2024,30348,"[2.0, 3.5]",1862,0,50,20,1400
16/10/2024,30350,"[2.0, 3.5]",1862,0,50,20,1800
16/10/2024,30352,"[2.0, 3.5]",1862,0,50,20,2200
16/10/2024,30355,"[2.0, 3.5]",1862,0,50,20,2800
16/10/2024,30357,"[2.0, 3.5]",1862,0,50,20,3400
16/10/2024,30359,"[2.0, 3.5]",1862,0,50,20,4000
16/10/2024,30361,"[2.0, 3.5]",1862,0,1,1,1400
16/10/2024,30363,"[2.0, 3.5]",1862,0,1,1,1500
16/10/2024,30366,"[2.0, 3.5]",1862,0,1,1,1600
16/10/2024,30368,"[2.0, 3.5]",1862,0,1,1,1800
16/10/2024,30370,"[2.0, 3.5]",1862,0,12,1,2000
16/10/2024,30372,"[2.0, 3.5]",1862,0,12,1,2200
16/10/2024,30375,"[2.5, 4.5]",1862,0,50,20,1400
16/10/2024,30377,"[2.5, 4.5]",1862,0,50,20,1800
16/10/2024,30379,"[2.5, 4.5]",1862,0,50,20,2200
16/10/2024,30381,"[2.5, 4.5]",1862,0,50,20,2800
16/10/2024,30384,"[2.5, 4.5]",1862,0,50,20,3400
16/10/2024,30386,"[2.5, 4.5]",1862,0,50,20,4000
16/10/2024,30388,"[2.5, 4.5]",1862,0,1,1,1400
16/10/2024,30390,"[2.5, 4.5]",1862,0,1,1,1500
16/10/2024,30392,"[2.5, 4.5]",1862,0,1,1,1600
16/10/2024,30395,"[2.5, 4.5]",1862,0,1,1,1800
